house_direction,property_legal_document,Đường,Tỉnh,Phường,price_per_m2,area,bedroom,toilet
Đông,Sổ hồng riêng,Phố Kim Ngưu,Hà Nội, Phường Thanh Lương,14.29,42.0,2,1
Đông Nam,Sổ hồng riêng, Lê Văn Lương,Hồ Chí Minh, Xã Phước Kiển,32.14,56.0,1,1
Tây Nam,Sổ hồng riêng, Nguyễn Xí,Hồ Chí Minh, Phường 26,43.75,88.0,2,2
Tây Nam,Đang chờ sổ,Mỹ Đình,Hồ Chí Minh, Phường Cầu Kho,108.51,94.0,2,2
Tây Nam,Đang chờ sổ,Mỹ Đình,Hồ Chí Minh, Phường Cầu Kho,109.47,95.0,2,2
Bắc,Hợp đồng mua bán,Lý Chiêu Hoàng,Hồ Chí Minh, Phường 10,41.0,50.0,2,1
Bắc,Đang chờ sổ,Nguyễn Văn Linh,Hồ Chí Minh, Xã Bình Hưng,45.77,71.0,2,2
Bắc,Đang chờ sổ,Nguyễn Văn Linh,Hồ Chí Minh, Xã Bình Hưng,69.39,98.0,3,2
Đông Bắc,Đang chờ sổ,Nguyễn Văn Linh,Hồ Chí Minh, Xã Bình Hưng,46.55,58.0,2,1
Đông,Đang chờ sổ,Võ Văn Kiệt,Hồ Chí Minh, Phường An Lạc,60.71,56.0,2,1
Nam,Đang chờ sổ,Võ Văn Kiệt,Hồ Chí Minh, Phường An Lạc,41.33,75.0,2,2
Đông,Sổ hồng riêng,Nguyễn Văn Linh,Hồ Chí Minh, Xã Bình Hưng,42.86,56.0,2,1
Nam,Đang chờ sổ,Nguyễn Văn Linh,Hồ Chí Minh, Xã Bình Hưng,49.01,85.0,2,2
Đông,Hợp đồng mua bán, Hồ Chí Minh,Hồ Chí Minh, Thị trấn Tân Túc,38.98,59.0,2,2
Đông,Sổ hồng riêng,Trịnh Quang Nghị,Hồ Chí Minh, Xã Phong Phú,60.0,125.0,2,2
Tây Bắc,Sổ hồng riêng, Lê Văn Lương,Hồ Chí Minh, Xã Phước Kiển,26.16,86.0,2,2
Bắc,Sổ hồng riêng, Duyên Thái ,Hà Nội, Xã Hà Hồi,28.38,45.7999,2,1
Đông Bắc,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,51.59,63.0,2,1
